datetime,AREXQ,WLL,cash,commission,total,returns,equity_curve,drawdown
2013-07-23 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-07-24 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-07-25 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-07-26 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-07-29 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-07-30 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-07-31 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-08-01 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-08-02 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-08-05 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-08-06 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-08-07 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-08-08 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-08-09 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-08-12 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-08-13 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-08-14 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-08-15 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-08-16 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-08-19 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-08-20 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-08-21 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-08-22 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-08-23 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-08-26 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-08-27 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-08-28 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-08-29 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-08-30 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-09-03 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-09-04 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-09-05 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-09-06 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-09-09 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-09-10 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-09-11 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-09-12 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-09-13 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-09-16 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-09-17 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-09-18 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-09-19 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-09-20 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-09-23 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-09-24 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-09-25 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-09-26 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-09-27 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-09-30 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-10-01 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-10-02 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-10-03 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-10-04 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-10-07 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-10-08 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-10-09 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-10-10 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-10-11 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-10-14 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-10-15 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-10-16 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-10-17 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-10-18 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-10-21 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-10-22 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-10-23 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-10-24 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-10-25 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-10-28 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-10-29 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-10-30 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-10-31 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-11-01 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-11-04 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-11-05 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-11-06 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-11-07 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
